provice,_type,city,population
Balochistan,municipalities,Quetta ,1000000
Balochistan,municipalities,Khuzdar,148089
Balochistan,municipalities,Chaman,113115
Balochistan,municipalities,Turbat,83475
Balochistan,municipalities,Sibi,80767
Khyber,municipalities,Peshawar,1814557
Khyber,municipalities,Mardan,952135
Khyber,municipalities,Mingora,
Khyber,municipalities,Kohat,412032
Khyber,municipalities,Abbottabad,401014
Punjab,municipalities,Lahore,11126285
Punjab,municipalities,Faisalabad,3203846
Punjab,municipalities,Rawalpindi,2098231
Punjab,municipalities,Gujranwala,2027001
Punjab,municipalities,Multan,1871843
Punjab,municipalities,Sargodha,1405110
Sindh,municipalities,Karachi,14910352
Sindh,municipalities,Hyderabad,1732693
Sindh,municipalities,Sukkur,893438
Sindh,municipalities,Larkana,456544
Sindh,municipalities,Nawabshah,272598
Kashmir,districts,Kotli,774194
Kashmir,districts,Muzaffarabad,650370
Kashmir,districts,Rawalakot,500571
Kashmir,districts,New Mirpur City,456200
Kashmir,districts,Bhimber,420624
Punjab,municipalities,"Islamabad, Pak",1014825
Gilgit,municipalities,Gilgit,216760
Gilgit,municipalities,Skardu,26023
Gilgit,municipalities,Chilas,16575
Gilgit,municipalities,Khaplu,12883
